"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"SCRUM-1","Epic","","Admin Features","To Do","Aizaz Ahmed","","2025/05/19","2025/05/19","2025/05/20","2025/05/20","purple"
"SCRUM-2","Story","SCRUM-1","Add/Remove Courses","Done","Aizaz Ahmed","","","","2025/05/20","","purple"
"SCRUM-3","Story","SCRUM-1","View Time Table (Section Wise, Day Wise, Room Wise, Teacher Wise)","Done","Aizaz Ahmed","","","","2025/05/20","","purple"
"SCRUM-4","Story","SCRUM-1"," Add/Remove Students","Done","Aizaz Ahmed","","","","2025/05/20","","purple"
"SCRUM-5","Story","SCRUM-1","Add/Remove Rooms","Done","Aizaz Ahmed","","","","2025/05/20","","purple"
"SCRUM-18","Story","SCRUM-1","Add Departments","Done","Muhammad Abdullah Sarwar","","","","2025/05/21","","purple"
"SCRUM-19","Story","SCRUM-1","Search Student Availability","Done","Muhammad Abdullah Sarwar","","","","2025/05/21","","purple"
"SCRUM-20","Story","SCRUM-1","Generate and Track Challans","Done","Muhammad Abdullah Sarwar","","","","2025/05/21","","purple"
"SCRUM-6","Epic","","Student Features","To Do","Aizaz Ahmed","","2025/05/21","2025/05/21","2025/05/22","2025/05/22","purple"
"SCRUM-7","Story","SCRUM-6","Check Time Table","Done","Aizaz Ahmed","","","","2025/05/22","","purple"
"SCRUM-8","Story","SCRUM-6"," View Announcements","Done","Aizaz Ahmed","","","","2025/05/22","","purple"
"SCRUM-9","Story","SCRUM-6","Register Courses","Done","Aizaz Ahmed","","","","2025/05/22","","purple"
"SCRUM-10","Story","SCRUM-6","Check Scores","Done","Aizaz Ahmed","","","","2025/05/22","","purple"
"SCRUM-21","Story","SCRUM-6","View Attendance","Done","Muhammad Abdullah Sarwar","","","","2025/05/23","","purple"
"SCRUM-22","Story","SCRUM-6","Submit/View Assignments","Done","Muhammad Abdullah Sarwar","","","","2025/05/23","","purple"
"SCRUM-23","Story","SCRUM-6","View Challans","Done","Muhammad Abdullah Sarwar","","","","2025/05/23","","purple"
"SCRUM-11","Epic","","Teacher Features","To Do","Aizaz Ahmed","","2025/05/23","2025/05/23","2025/05/24","2025/05/24","purple"
"SCRUM-12","Story","SCRUM-11","Mark Attendance","Done","","","","","2025/05/24","","purple"
"SCRUM-13","Story","SCRUM-11","View Time Table","Done","Aizaz Ahmed","","","","2025/05/24","","purple"
"SCRUM-14","Story","SCRUM-11","Make Announcements","Done","Aizaz Ahmed","","","","2025/05/24","","purple"
"SCRUM-24","Story","SCRUM-11","Enter Student Marks","Done","Muhammad Abdullah Sarwar","","","","2025/05/25","","purple"
"SCRUM-25","Story","SCRUM-11","View Student Profile","Done","Muhammad Abdullah Sarwar","","","","2025/05/25","","purple"
"SCRUM-26","Story","SCRUM-11","Upload Assignments","Done","Muhammad Abdullah Sarwar","","","","","","purple"
"SCRUM-27","Story","SCRUM-11","View Submissions","Done","Muhammad Abdullah Sarwar","","","","2025/05/25","","purple"
"SCRUM-15","Epic","","Spark AI Integration","To Do","Aizaz Ahmed","","2025/05/25","2025/05/25","2025/05/26","2025/05/26","purple"
"SCRUM-16","Story","SCRUM-15","Login/Signup for Spark AI","Done","Aizaz Ahmed","","","","2025/05/26","","purple"
"SCRUM-17","Story","SCRUM-15","Access Help from Spark AI","Done","Aizaz Ahmed","","","","2025/05/26","","purple"
